General_FormVersionID,General_YourSystemsRecordIdentifier,Form8850_ApplicantFirstName,Form8850_ApplicantMiddleName,Form8850_ApplicantLastName,Form8850_ApplicantSuffix,Form8850_ApplicantSSN,Form8850_ApplicantAddressLine1,Form8850_ApplicantCity,Form8850_ApplicantStateCd,Form8850_ApplicantZipCode,Form8850_ApplicantCounty,Form8850_ApplicantPhone,Form8850_ApplicantDOB,Form8850_Checkbox1,Form8850_Checkbox2,Form8850_Checkbox3,Form8850_Checkbox4,Form8850_Checkbox5,Form8850_Checkbox6,Form8850_Checkbox7,Form8850_EmployeeSignatureDate,Form8850_EmployerName,Form8850_EmployerPhone,Form8850_EmployerFEIN,Form8850_EmployerAddressLine1,Form8850_EmployerCity,Form8850_EmployerStateCd,Form8850_EmployerZipcode,Form8850_ContactFirstName,Form8850_ContactLastName,Form8850_ContactPhone,Form8850_ContactAddressLine1,Form8850_ContactCity,Form8850_ContactStateCd,Form8850_ContactZipcode,Form8850_GroupNumber,Form8850_GaveInformationDate,Form8850_OfferedJobDate,Form8850_EmployeeDateHired,Form8850_EmployeeStartDate,ICF_Rehire,ICF_StartingWage,ICF_OccupationID,ICF_IVA,ICF_IVAName,ICF_IVACity,ICF_IVAStateCd,ICF_IVAAdditionalCity,ICF_IVAAdditionalStateCd,ICF_Veteran,ICF_VeteranSNAPName,ICF_VeteranSNAPCity,ICF_VeteranSNAPStateCd,ICF_VeteranSNAPAdditionalCity,ICF_VeteranSNAPAdditionalStateCd,ICF_Felon,ICF_Felon_WorkRelease,ICF_FelonDateConviction,ICF_FelonDateRelease,ICF_FelonType,ICF_FelonStateCd,ICF_DCR_RRC,ICF_DCR_EZ,ICF_VR,ICF_SummerYouth,ICF_SNAP,ICF_SNAPName,ICF_SNAPCity,ICF_SNAPStateCd,ICF_SNAPAdditionalCity,ICF_SNAPAdditionalStateCd,ICF_SSI,ICF_TANF,ICF_TANFName,ICF_TANFCity,ICF_TANFStateCd,ICF_TANFAdditionalCity,ICF_TANFAdditionalStateCd,ICF_LTUR,ICF_LTURCity,ICF_LTURStateCd,ICF_LTURAdditionalCity,ICF_LTURAdditionalStateCd,ICF_EligibilitySources,ICF_SignatorName
9,A123456789,Ava,,Brown,,123456789,123 N 3rd St,Phoenix,AZ,85001,Maricopa County,1234567890,6/20/92,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/01,"Walser Automotive Group, LLC.",9528071805,263271894,7700 France Avenue S,Edina,MN,55435,Jane,Smith,2345678901,234 Center St,Scottsdale,AZ,85250,,9/1/01,9/1/23,9/1/23,9/1/23,FALSE,7.5,11,TRUE,Ava Brown,Phoenix,AZ,,,FALSE,,,,,,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,Jim Brown
9,B987654321,Noah,Edward,Davis,Jr.,555555555,15 Loockerman Plaza,Dover,DE,19901,Kent County,5555555555,9/12/85,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,8.25,13,FALSE,,,,,,TRUE,Noah Edward Davis,Dover,DE,Texas,DE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Jane Smith,Dover,DE,Bover,ME,FALSE,FALSE,,,,,,FALSE,,,,,"UI Wage;""Veteran Discharge Letter""",Jim Brown
9,B987654322,Bob,,Robertson,,666666666,15 Loockerman Plaza,Dover,DE,19901,Kent County,5555555555,9/12/85,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,8.25,13,FALSE,,,,,,TRUE,Noah Edward Davis,Dover,DE,Texas,DE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Jane Smith,Dover,DE,Bover,ME,FALSE,FALSE,,,,,,FALSE,,,,,"UI Wage;""Veteran Discharge Letter""",Jim Brown
9,B987654323,Ashley,,Paval,,777777777,15 Loockerman Plaza,Dover,DE,19901,Kent County,5555555555,9/12/85,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,8.25,13,FALSE,,,,,,TRUE,Noah Edward Davis,Dover,DE,Texas,DE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Jane Smith,Dover,DE,Bover,ME,FALSE,FALSE,,,,,,FALSE,,,,,"UI Wage;""Veteran Discharge Letter""",Jim Brown
9,B987654324,Eliah,,Tsvetko,,888888888,15 Loockerman Plaza,Dover,DE,19901,Kent County,5555555555,9/12/85,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,8.25,13,FALSE,,,,,,TRUE,Noah Edward Davis,Dover,DE,Texas,DE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Jane Smith,Dover,DE,Bover,ME,FALSE,FALSE,,,,,,FALSE,,,,,"UI Wage;""Veteran Discharge Letter""",Jim Brown
9,B987654325,Kateryna,,Bao,,999999999,15 Loockerman Plaza,Dover,DE,19901,Kent County,5555555555,9/12/85,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,8.25,13,FALSE,,,,,,TRUE,Noah Edward Davis,Dover,DE,Texas,DE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Jane Smith,Dover,DE,Bover,ME,FALSE,FALSE,,,,,,FALSE,,,,,"UI Wage;""Veteran Discharge Letter""",Jim Brown
9,E135792468,Mor,J,Hernandez,,864209385,145 E Congress St,Tucson,AZ,85701,Pima County,2222223333,7/14/82,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,8.5,19,FALSE,,,,,,FALSE,,,,,,TRUE,TRUE,5/12/19,2/28/22,State,NY,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,Jim Brown
9,L246813579,Isabella,E,Lopez,,135792468,12345 Tamash Road,Belpre,KS,67519,Edwards,3334445555,1/16/89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,4,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,10.75,33,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,Jim Brown
9,L246813579,Ronan,,Ryuu,,731042817,819 N 5th St,Kansas City,KS,66101,Wyandotte County,3334445555,1/16/89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,4,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,10.75,33,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,Jim Brown
9,F864209385,Malik,,Jackson,,209385864,200 Christiana Mall,Newark,DE,19702,New Castle County,4445556666,3/28/86,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/01,Walser Automotive Group,9528071805,263271894,123 E 6th St,Edina,MN,55435,,,,,,,,,9/1/23,9/1/23,9/1/23,9/1/23,FALSE,10.25,21,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,Jim Brown
